;numTarMovMes;establecimiento;nroAut;planCuot;numCuot;moneda;importe;codPais;importeOrig;binTarj;nombreComercio;TjCodBanco;numTarMov2000;planGob;token;numToken;posDataCode;visaRelease;tipoTarjeta
0;4593540003896669;0003255627;00907042;00;00;ARP;210.01;AR;00000000021001;565830;FLECHA BUS           ;998;4593540003896669 ;7;N;                ;200101254101 ;V;E
1;4593540003896669;0003255627;00235762;00;00;ARP;210.01;AR;00000000021001;565830;FLECHA BUS           ;998;4593540003896669 ;7;N;                ;200101254101 ;2;E
2;4593540003896669;0003255627;00125870;00;00;ARP;210.01;AR;00000000021001;565830;FLECHA BUS           ;998;4593540003896669 ;7;N;                ;200101254101 ;0;E
3;4593540003896669;0003255627;00957145;00;00;ARP;210.01;AR;00000000021001;565830;FLECHA BUS           ;998;4593540003896669 ;7;N;                ;200101254101 ;1;E
4;4593540003896669;0003255627;00568953;00;00;ARP;210.01;AR;00000000021001;565830;FLECHA BUS           ;007;4593540003896669 ;7;N;                ;200101254101 ;4;E
5;4593540003896669;0003255627;00821193;00;00;ARP;210.01;AR;00000000021001;565830;FLECHA BUS           ;007;4593540003896669 ;7;N;                ;200101254101 ;5;1
6;4593540003896669;0003255627;00367703;00;00;ARP;100.11;AR;00000000010011;565830;FLECHA BUS           ;007;4593540003896669 ; ;N;                ;200101254101 ;7;1
7;4593540003896669;0003255627;00210788;00;00;ARP;100.12;AR;00000000010012;565830;FLECHA BUS           ;007;4593540003896669 ; ;N;                ;200101254101 ;8;1
8;4593540003896669;0003255627;00505166;00;00;ARP;100.14;AR;00000000010014;565830;FLECHA BUS           ;007;4593540003896669 ; ;N;                ;200101254101 ;C;1
9;4593540003896669;0003255627;00009981;00;00;ARP;100.15;AR;00000000010015;565830;FLECHA BUS           ;007;4593540003896669 ; ;N;                ;200101254101 ;B;1
