;establecimiento;Tipo;MkOffLine;MkBanda;Tarjeta;Libre1;NCupon;Dia;Mes;Anio;Libre2;Autoriz;Importe;Cuotas;TNABco;Ramo;MConver;Te1;TelOrig;TelDes;TelTpo
0;0043333749;; ; ;6500870034343434; ;00000040;15;11;21;  ;635733;000000000000200;  ;     ;        ;  ;   ;          ;                ;    
1;0043333749;; ; ;6500870034343434; ;00000041;15;11;21;  ;945736;000000000000300;  ;     ;        ;  ;   ;          ;                ;    
2;0043333749;; ; ;6500870034343434; ;00000042;15;11;21;  ;632182;000000000000400;  ;     ;        ;  ;   ;          ;                ;    
3;0043333749;; ; ;6500870034343434; ;00000043;15;11;21;  ;964651;000000000000500;  ;     ;        ;  ;   ;          ;                ;    
4;0043333749;; ; ;6500870034343434; ;00000044;15;11;21;  ;220450;000000000000600;  ;     ;        ;  ;   ;          ;                ;    
5;0043333749;; ; ;6500870034343434; ;00000045;15;11;21;  ;804132;000000000000700;  ;     ;        ;  ;   ;          ;                ;    
6;0043333749;; ; ;6500870034343434; ;00000046;15;11;21;  ;387791;000000000000800;  ;     ;        ;  ;   ;          ;                ;    
7;0043333749;; ; ;6502720012121212; ;00000032;15;11;21;  ;773941;000000000000300;  ;     ;        ;  ;   ;          ;                ;    
8;0043333749;; ; ;6502720012121212; ;00000033;15;11;21;  ;866767;000000000000400;  ;     ;        ;  ;   ;          ;                ;    
9;0043333749;; ; ;6502720012121212; ;00000034;15;11;21;  ;228444;000000000000500;  ;     ;        ;  ;   ;          ;                ;    
10;0043333749;; ; ;6502720012121212; ;00000035;15;11;21;  ;542255;000000000000600;  ;     ;        ;  ;   ;          ;                ;    
11;0043333749;; ; ;6502720012121212; ;00000036;15;11;21;  ;685248;000000000000700;  ;     ;        ;  ;   ;          ;                ;    
12;0043333749;; ; ;6502720012121212; ;00000037;15;11;21;  ;762295;000000000000800;  ;     ;        ;  ;   ;          ;                ;    
