;NUMEST;TERMINAL;NUMTAR;TIPOMOV;FECHA;HORA;NCUPON;MONEDA;IMPORTE;CUOTAS;NROAUT;DIASDIFER;ESTRUBRO;ESTDENOM;CODOP;FECHADIFER;NUMLOTE;FECHACIERRE;CODPLAN;CODRESPU;DATADIC;MODOING;FILLER
0;000000000088884;12991992;6090800000000167   ;0220;20210712;224010;00005035;032;000000001100;01;000127;000;4511;                         ;0005;0       ;0000;0       ;0;000;                   ; ;            
1;000000000088884;12991992;6090800000000167   ;0225;20210712;224051;00005036;032;000000001100;01;000127;000;4511;                         ;0005;0       ;0000;0       ;0;900;                   ; ;            
2;000000000088884;12991992;6090800000000167   ;0320;20210712;224122;00005037;032;000000001100;01;000128;000;4511;                         ;6000;0       ;0000;0       ;0;000;                   ; ;            
3;000000000088884;12991992;6090800000000167   ;0320;20210712;224151;00005038;032;000000001100;06;000130;000;4511;                         ;6000;0       ;0000;0       ;1;000;                   ; ;            
4;000000000088884;12991992;6090800000000167   ;0220;20210712;224204;00005039;032;000000001100;01;000131;000;4511;                         ;0005;0       ;0000;0       ;0;000;                   ; ;            
5;000000000088884;12991992;6090800000000167   ;0200;20210712;224220;00005040;032;000000001100;01;000131;000;4511;                         ;0000;0       ;0000;0       ;0;000;                   ; ;            
6;000000000088884;12991992;6090800000000167   ;0320;20210712;224255;00005041;032;000000001100;01;000132;000;4511;                         ;6000;0       ;0000;0       ;0;000;                   ; ;            
7;000000000088884;12991992;6090800000000167   ;0300;20210712;224304;00005042;032;000000001100;01;000132;000;4511;                         ;0000;0       ;0000;0       ;0;000;                   ; ;            
8;000000000088884;12991992;6090800000000167   ;0220;20210712;224331;00005043;032;000000001100;01;000133;000;4511;                         ;0005;0       ;0000;0       ;0;000;                   ; ;            
9;000000000088884;12991992;6090800000000167   ;0215;20210712;224331;00005043;032;000000001100;01;000133;000;4511;                         ;0000;0       ;0000;0       ;0;400;                   ; ;            
10;000000000088884;12991992;6090800000000167   ;0320;20210712;224421;00005044;032;000000001100;01;000134;000;4511;                         ;6000;0       ;0000;0       ;0;000;                   ; ;            
11;000000000088884;12991992;6090800000000167   ;0315;20210712;224421;00005044;032;000000001100;01;000134;000;4511;                         ;0000;0       ;0000;0       ;0;400;                   ; ;            
12;000000000088884;12991992;6090800000000167   ;0220;20210712;224457;00005045;032;000000001100;01;000135;000;4511;                         ;0005;0       ;0000;0       ;0;000;                   ; ;            
13;000000000088884;12991992;6090800000000167   ;0200;20210712;224508;00005046;032;000000001100;01;000135;000;4511;                         ;0000;0       ;0000;0       ;0;000;                   ; ;            
14;000000000088884;12991992;6090800000000167   ;0210;20210712;224508;00005046;032;000000001100;01;000135;000;4511;                         ;0000;0       ;0000;0       ;0;400;                   ; ;            
15;000000000088884;12991992;6090800000000167   ;0220;20210712;223840;00005027;032;000000001100;12;000120;000;4511;                         ;0005;0       ;0000;0       ;0;000;                   ; ;            
16;000000000088884;12991992;6090800000000167   ;0220;20210712;223848;00005028;032;000000001100;03;000121;000;4511;                         ;0005;0       ;0000;0       ;0;000;                   ; ;            
17;000000000088884;12991992;6090800000000167   ;0220;20210712;223901;00005029;032;000000001100;06;000122;000;4511;                         ;0005;0       ;0000;0       ;0;000;                   ; ;            
18;000000000088884;12991992;6090800000000167   ;0220;20210712;223909;00005030;032;000000001100;01;000123;000;4511;                         ;0005;0       ;0000;0       ;0;000;                   ; ;            
19;000000000088884;12991992;6090800000000167   ;0220;20210712;223919;00005031;032;000000001100;01;000124;000;4511;                         ;0005;0       ;0000;0       ;0;000;                   ; ;            
20;000000000088884;12991992;6090800000000167   ;0220;20210712;223930;00005032;032;000000001100;01;000125;000;4511;                         ;0005;0       ;0000;0       ;0;000;                   ; ;            
21;000000000088884;12991992;6090800000000167   ;0220;20210712;223949;00005034;032;000000001100;06;000126;000;4511;                         ;0005;0       ;0000;0       ;1;000;                   ; ;            
